game_id,agent_p1,agent_p2,seed,winner,turns,time_sec,p1_alive,p2_alive,p1_captures,p2_captures
48,LOOK-my-eval,LOOK-A1-material5,90,1,81,0.219,4,0,8,4
49,LOOK-my-eval,LOOK-A1-material5,91,1,97,0.141,5,0,8,3
50,LOOK-my-eval,LOOK-A1-material5,92,1,131,0.156,5,0,8,3
51,LOOK-my-eval,LOOK-A1-material5,93,1,117,0.156,1,0,8,7
0,LOOK-my-eval,LOOK-A1-material5,42,-1,158,0.234,0,1,7,8
1,LOOK-my-eval,LOOK-A1-material5,43,1,49,0.203,4,0,8,4
2,LOOK-my-eval,LOOK-A1-material5,44,1,63,0.156,4,0,8,4
3,LOOK-my-eval,LOOK-A1-material5,45,-1,62,0.219,0,6,2,8
84,LOOK-my-eval,LOOK-A1-material5,126,1,75,0.094,1,0,8,7
85,LOOK-my-eval,LOOK-A1-material5,127,-1,68,0.094,0,6,2,8
86,LOOK-my-eval,LOOK-A1-material5,128,1,89,0.297,7,0,8,1
87,LOOK-my-eval,LOOK-A1-material5,129,1,123,0.312,1,0,8,7
64,LOOK-my-eval,LOOK-A1-material5,106,1,57,0.219,6,0,8,2
65,LOOK-my-eval,LOOK-A1-material5,107,1,157,0.203,5,0,8,3
66,LOOK-my-eval,LOOK-A1-material5,108,1,75,0.187,4,0,8,4
67,LOOK-my-eval,LOOK-A1-material5,109,-1,70,0.359,0,1,7,8
116,LOOK-my-eval,LOOK-A1-material5,158,1,127,0.109,1,0,8,7
117,LOOK-my-eval,LOOK-A1-material5,159,-1,78,0.281,0,4,4,8
118,LOOK-my-eval,LOOK-A1-material5,160,1,103,0.453,4,0,8,4
119,LOOK-my-eval,LOOK-A1-material5,161,-1,42,0.125,0,4,4,8
108,LOOK-my-eval,LOOK-A1-material5,150,1,83,0.203,4,0,8,4
109,LOOK-my-eval,LOOK-A1-material5,151,1,65,0.312,4,0,8,4
110,LOOK-my-eval,LOOK-A1-material5,152,1,93,0.281,2,0,8,6
111,LOOK-my-eval,LOOK-A1-material5,153,1,49,0.234,7,0,8,1
148,LOOK-my-eval,LOOK-A1-material5,190,1,59,0.25,4,0,8,4
149,LOOK-my-eval,LOOK-A1-material5,191,1,141,0.281,6,0,8,2
150,LOOK-my-eval,LOOK-A1-material5,192,-1,228,0.297,0,1,7,8
151,LOOK-my-eval,LOOK-A1-material5,193,-1,64,0.156,0,5,3,8
236,LOOK-A1-material5,LOOK-my-eval,278,1,145,0.266,2,0,8,6
237,LOOK-A1-material5,LOOK-my-eval,279,-1,72,0.25,0,4,4,8
238,LOOK-A1-material5,LOOK-my-eval,280,1,111,0.156,1,0,8,7
239,LOOK-A1-material5,LOOK-my-eval,281,1,73,0.234,6,0,8,2
20,LOOK-my-eval,LOOK-A1-material5,62,1,63,0.234,6,0,8,2
21,LOOK-my-eval,LOOK-A1-material5,63,1,67,0.359,8,0,8,0
22,LOOK-my-eval,LOOK-A1-material5,64,-1,68,0.531,0,4,4,8
23,LOOK-my-eval,LOOK-A1-material5,65,1,55,0.078,3,0,8,5
88,LOOK-my-eval,LOOK-A1-material5,130,-1,140,0.641,0,2,6,8
89,LOOK-my-eval,LOOK-A1-material5,131,1,87,0.252,5,0,8,3
90,LOOK-my-eval,LOOK-A1-material5,132,1,25,0.186,8,0,8,0
91,LOOK-my-eval,LOOK-A1-material5,133,-1,94,0.109,0,3,5,8
176,LOOK-my-eval,LOOK-A1-material5,218,-1,140,0.219,0,4,4,8
177,LOOK-my-eval,LOOK-A1-material5,219,1,165,0.453,1,0,8,7
178,LOOK-my-eval,LOOK-A1-material5,220,1,77,0.328,3,0,8,5
179,LOOK-my-eval,LOOK-A1-material5,221,1,83,0.109,5,0,8,3
104,LOOK-my-eval,LOOK-A1-material5,146,1,65,0.141,4,0,8,4
105,LOOK-my-eval,LOOK-A1-material5,147,-1,66,0.141,0,2,6,8
106,LOOK-my-eval,LOOK-A1-material5,148,1,95,0.641,2,0,8,6
107,LOOK-my-eval,LOOK-A1-material5,149,-1,112,0.328,0,4,4,8
44,LOOK-my-eval,LOOK-A1-material5,86,-1,56,0.109,0,3,5,8
45,LOOK-my-eval,LOOK-A1-material5,87,1,49,0.906,6,0,8,2
46,LOOK-my-eval,LOOK-A1-material5,88,-1,142,0.25,0,2,6,8
47,LOOK-my-eval,LOOK-A1-material5,89,-1,54,0.094,0,4,4,8
56,LOOK-my-eval,LOOK-A1-material5,98,1,51,0.469,5,0,8,3
57,LOOK-my-eval,LOOK-A1-material5,99,1,57,0.406,2,0,8,6
58,LOOK-my-eval,LOOK-A1-material5,100,1,77,0.375,5,0,8,3
59,LOOK-my-eval,LOOK-A1-material5,101,1,45,0.125,5,0,8,3
120,LOOK-my-eval,LOOK-A1-material5,162,1,83,0.531,1,0,8,7
121,LOOK-my-eval,LOOK-A1-material5,163,-1,90,0.406,0,1,7,8
122,LOOK-my-eval,LOOK-A1-material5,164,-1,110,0.156,0,1,7,8
123,LOOK-my-eval,LOOK-A1-material5,165,1,55,0.25,6,0,8,2
252,LOOK-A1-material5,LOOK-my-eval,294,1,79,0.203,5,0,8,3
253,LOOK-A1-material5,LOOK-my-eval,295,-1,112,0.469,0,1,7,8
254,LOOK-A1-material5,LOOK-my-eval,296,1,107,0.281,2,0,8,6
255,LOOK-A1-material5,LOOK-my-eval,297,-1,40,0.187,0,8,0,8
156,LOOK-my-eval,LOOK-A1-material5,198,1,95,0.344,7,0,8,1
157,LOOK-my-eval,LOOK-A1-material5,199,-1,106,0.281,0,1,7,8
158,LOOK-my-eval,LOOK-A1-material5,200,1,69,0.344,1,0,8,7
159,LOOK-my-eval,LOOK-A1-material5,201,-1,76,0.297,0,2,6,8
160,LOOK-my-eval,LOOK-A1-material5,202,1,167,0.297,2,0,8,6
161,LOOK-my-eval,LOOK-A1-material5,203,1,105,0.312,6,0,8,2
162,LOOK-my-eval,LOOK-A1-material5,204,1,49,0.203,1,0,8,7
163,LOOK-my-eval,LOOK-A1-material5,205,1,107,0.453,3,0,8,5
80,LOOK-my-eval,LOOK-A1-material5,122,1,33,0.25,8,0,8,0
81,LOOK-my-eval,LOOK-A1-material5,123,1,137,0.547,6,0,8,2
82,LOOK-my-eval,LOOK-A1-material5,124,1,71,0.359,6,0,8,2
83,LOOK-my-eval,LOOK-A1-material5,125,1,95,0.25,3,0,8,5
224,LOOK-A1-material5,LOOK-my-eval,266,-1,98,0.312,0,1,7,8
225,LOOK-A1-material5,LOOK-my-eval,267,1,75,0.297,3,0,8,5
226,LOOK-A1-material5,LOOK-my-eval,268,-1,102,0.312,0,3,5,8
