game_id,turn,throws,human_soldiers,agent,agent_soldiers,soldier_set_match,strict_match,first_match,jaccard
AhmadG1,5,"1,2",A1,TLE,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,TLA-S,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,LOOK,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,LOOK-no-enum,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,LOOK-no-LA,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,PSA,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,GA-Expert,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,GA-Original,A1,1,1,1,1.0
AhmadG1,5,"1,2",A1,Random,A1,1,1,1,1.0
AhmadG1,7,"6,1,1,3",B3,TLE,"A2,B3",0,0,0,0.5
AhmadG1,7,"6,1,1,3",B3,TLA-S,"A2,B3",0,0,0,0.5
AhmadG1,7,"6,1,1,3",B3,LOOK,"A2,B3",0,0,0,0.5
AhmadG1,7,"6,1,1,3",B3,LOOK-no-enum,B3,1,1,1,1.0
AhmadG1,7,"6,1,1,3",B3,LOOK-no-LA,"A2,B3",0,0,0,0.5
AhmadG1,7,"6,1,1,3",B3,PSA,B3,1,1,1,1.0
AhmadG1,7,"6,1,1,3",B3,GA-Expert,"A2,B3",0,0,0,0.5
AhmadG1,7,"6,1,1,3",B3,GA-Original,B3,1,1,1,1.0
AhmadG1,7,"6,1,1,3",B3,Random,"A2,B3",0,0,0,0.5
AhmadG1,9,3,C3,TLE,C3,1,1,1,1.0
AhmadG1,9,3,C3,TLA-S,C3,1,1,1,1.0
AhmadG1,9,3,C3,LOOK,C3,1,1,1,1.0
AhmadG1,9,3,C3,LOOK-no-enum,C3,1,1,1,1.0
AhmadG1,9,3,C3,LOOK-no-LA,C3,1,1,1,1.0
AhmadG1,9,3,C3,PSA,C3,1,1,1,1.0
AhmadG1,9,3,C3,GA-Expert,C3,1,1,1,1.0
AhmadG1,9,3,C3,GA-Original,C3,1,1,1,1.0
AhmadG1,9,3,C3,Random,C3,1,1,1,1.0
AhmadG1,11,"1,2",A2,TLE,"A2,B1",0,0,1,0.5
AhmadG1,11,"1,2",A2,TLA-S,"A2,B1",0,0,1,0.5
AhmadG1,11,"1,2",A2,LOOK,B1,0,0,0,0.0
AhmadG1,11,"1,2",A2,LOOK-no-enum,B1,0,0,0,0.0
AhmadG1,11,"1,2",A2,LOOK-no-LA,B1,0,0,0,0.0
AhmadG1,11,"1,2",A2,PSA,A2,1,1,1,1.0
AhmadG1,11,"1,2",A2,GA-Expert,A2,1,1,1,1.0
AhmadG1,11,"1,2",A2,GA-Original,B1,0,0,0,0.0
AhmadG1,11,"1,2",A2,Random,"A2,B1",0,0,1,0.5
AhmadG1,13,2,B1,TLE,B1,1,1,1,1.0
AhmadG1,13,2,B1,TLA-S,B1,1,1,1,1.0
AhmadG1,13,2,B1,LOOK,B2,0,0,0,0.0
AhmadG1,13,2,B1,LOOK-no-enum,B2,0,0,0,0.0
AhmadG1,13,2,B1,LOOK-no-LA,B1,1,1,1,1.0
AhmadG1,13,2,B1,PSA,B2,0,0,0,0.0
AhmadG1,13,2,B1,GA-Expert,B2,0,0,0,0.0
AhmadG1,13,2,B1,GA-Original,B1,1,1,1,1.0
AhmadG1,13,2,B1,Random,B1,1,1,1,1.0
AhmadG1,15,2,B3,TLE,B3,1,1,1,1.0
AhmadG1,15,2,B3,TLA-S,B3,1,1,1,1.0
AhmadG1,15,2,B3,LOOK,B3,1,1,1,1.0
AhmadG1,15,2,B3,LOOK-no-enum,B3,1,1,1,1.0
AhmadG1,15,2,B3,LOOK-no-LA,B3,1,1,1,1.0
AhmadG1,15,2,B3,PSA,B3,1,1,1,1.0
AhmadG1,15,2,B3,GA-Expert,B3,1,1,1,1.0
AhmadG1,15,2,B3,GA-Original,B3,1,1,1,1.0
AhmadG1,15,2,B3,Random,B2,0,0,0,0.0
AhmadG1,17,"6,6,3",B5,TLE,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,TLA-S,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,LOOK,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,LOOK-no-enum,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,LOOK-no-LA,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,PSA,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,GA-Expert,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,GA-Original,B5,1,1,1,1.0
AhmadG1,17,"6,6,3",B5,Random,"B2,B5",0,0,0,0.5
AhmadG1,19,3,B4,TLE,B2,0,0,0,0.0
AhmadG1,19,3,B4,TLA-S,B2,0,0,0,0.0
AhmadG1,19,3,B4,LOOK,B4,1,1,1,1.0
AhmadG1,19,3,B4,LOOK-no-enum,B2,0,0,0,0.0
AhmadG1,19,3,B4,LOOK-no-LA,B4,1,1,1,1.0
AhmadG1,19,3,B4,PSA,B2,0,0,0,0.0
